"","Xmol","SFR"
"78",1.9947304e-05,0
"79",1.4513504e-05,0
"80",2.5535857e-05,0
"81",1.3229448e-05,0
"82",3.0528684e-05,0
"83",2.7523162e-05,0
"84",2.4582177e-05,0
"85",2.9383883e-05,0
"86",2.7922673e-05,0
"87",1.6492748e-05,0
"88",2.1531871e-05,0
"89",3.5491728e-05,0
"90",1.5199201e-05,0
"91",2.1099671e-05,0
"92",2.726451e-05,0
"93",2.5830042e-05,0
"94",1.6238701e-05,0
"95",1.6270465e-05,0
"96",2.2301843e-05,0
"97",1.4217254e-05,0
"98",1.7178632e-05,0
"99",2.1252891e-05,0
"100",1.7286981e-05,0
"101",1.9169231e-05,0
"102",1.4379236e-05,0
"103",2.2057505e-05,0
"104",1.6637085e-05,0
"105",1.5586242e-05,0
"106",1.8597177e-05,0
"107",1.3980109e-05,0
"108",2.3799972e-05,0
"109",1.792307e-05,0
"110",1.1807294e-05,0
"111",2.077442e-05,0
"112",1.2923867e-05,0
"113",2.0048096e-05,0
"114",1.6425279e-05,0
"115",1.7266159e-05,0
"116",1.9617472e-05,0
"117",2.1510067e-05,0
"118",1.454884e-05,0
"119",1.4756216e-05,0
"120",1.2504446e-05,0
"121",2.0990993e-05,0
"122",2.2881771e-05,0
"123",0.0012616901,1
"124",0.00028232816,1
"125",3.8250246e-05,0
"126",2.2569366e-05,0
"127",0.00012457129,1
"128",3.3635876e-05,0
"129",0.00039334176,1
"130",2.8191672e-05,0
"131",7.9384233e-05,1
"132",2.2312075e-05,0
"133",1.5740171e-05,0
"134",2.9159917e-05,0
"135",3.058731e-05,0
"136",2.6769699e-05,0
"137",2.5308453e-05,0
"138",2.4249972e-05,0
"139",2.971916e-05,0
"140",1.8329625e-05,0
"141",1.8761477e-05,0
"142",2.8708418e-05,0
"143",2.4662721e-05,0
"144",1.8188258e-05,0
"145",1.8086968e-05,0
"146",1.7381326e-05,0
"147",1.6924545e-05,0
"148",4.1821498e-05,0
"149",3.5471696e-05,0
"150",1.2509668e-05,0
"151",2.7521001e-05,0
"152",1.5827247e-05,0
"153",2.2659415e-05,0
"154",1.8038227e-05,0
"155",2.0419878e-05,0
"156",1.7420287e-05,0
"157",2.4558496e-05,0
"158",2.1891723e-05,0
"159",1.6751097e-05,0
"160",1.4441133e-05,0
"161",1.2423469e-05,0
"162",1.978269e-05,0
"163",2.227364e-05,0
"164",1.7856155e-05,0
"165",1.600188e-05,0
"166",1.9985972e-05,0
"167",1.4987938e-05,0
"168",2.3528502e-05,0
"169",1.6561949e-05,0
"170",1.6808698e-05,0
"171",2.7663859e-05,0
"172",1.1915741e-05,0
"173",2.0278969e-05,0
"174",1.5220626e-05,0
"175",2.2402994e-05,0
"176",1.5590236e-05,0
"177",2.0730018e-05,0
"178",1.7570727e-05,0
"179",1.7144162e-05,0
"180",1.6831261e-05,0
